Unnamed: 0,Pclass,Sex,SibSp,Fare,Embarked,Deck,Title,port_sex,Age_bin,FamilySize,Ticket_freq
331,1,0,0,28,0,3,1,623,8,790,1
733,2,0,0,13,0,8,1,623,3,790,1
382,3,0,0,7,0,8,1,623,6,790,1
704,3,0,1,7,0,8,1,623,4,437,1
813,3,1,4,31,0,8,2,293,0,35,7
118,1,0,0,247,1,2,1,157,3,437,3
536,1,0,0,26,0,2,5,623,8,790,1
361,2,0,1,27,1,8,1,157,5,437,2
29,3,0,0,7,0,8,1,623,6,790,1
55,1,0,0,35,0,3,1,623,5,790,1
865,2,1,0,13,0,8,3,293,8,790,1
595,3,0,1,24,0,8,1,623,7,437,3
239,2,0,0,12,0,8,1,623,6,790,1
721,3,0,1,7,0,8,1,623,1,437,1
81,3,0,0,9,0,8,1,623,5,790,1
259,2,1,0,26,0,8,3,293,9,437,2
486,1,1,1,90,0,3,3,293,6,437,2
716,1,1,0,227,1,3,2,113,7,790,5
800,2,0,0,13,0,8,1,623,6,790,2
781,1,1,1,57,0,2,3,293,1,437,2
542,3,1,4,31,0,8,2,293,0,35,7
326,3,0,0,6,0,8,1,623,9,790,1
534,3,1,0,8,0,8,2,293,5,790,1
535,2,1,0,26,0,8,2,293,0,437,3
483,3,1,0,9,0,8,3,293,9,790,1
762,3,0,0,7,1,8,1,157,2,790,1
533,3,1,0,22,1,8,3,113,3,437,3
713,3,0,0,9,0,8,1,623,5,790,1
390,1,0,1,120,0,2,1,623,7,437,4
495,3,0,0,14,1,8,1,157,1,790,2
482,3,0,0,8,0,8,1,623,9,790,1
377,1,0,0,211,1,3,1,157,4,437,5
365,3,0,0,7,0,8,1,623,5,790,1
412,1,1,1,90,2,3,2,60,6,437,3
468,3,0,0,7,2,8,1,63,1,790,1
409,3,1,3,25,0,8,2,293,7,47,5
7,3,0,3,21,0,8,4,623,0,47,5
580,2,1,1,30,0,8,2,293,4,437,2
155,1,0,0,61,1,8,1,157,9,437,2
880,2,1,0,26,0,8,3,293,4,437,2
425,3,0,0,7,0,8,1,623,3,790,1
101,3,0,0,7,0,8,1,623,2,790,1
199,2,1,0,13,0,8,2,293,3,790,1
