,Survived,Pclass,Sex,SibSp,Fare,Embarked,Deck,Title,port_sex,Age_bin,FamilySize,Ticket_freq
0,0,3,0,1,7,0,8,1,623,2,437,1
1,1,1,1,1,71,1,3,3,113,7,437,2
2,1,3,1,0,7,0,8,2,293,4,790,1
3,1,1,1,1,53,0,3,3,293,6,437,2
4,0,3,0,0,8,0,8,1,623,6,790,1
5,0,3,0,0,8,2,8,1,63,3,790,1
6,0,1,0,0,51,0,5,1,623,9,790,2
7,0,3,0,3,21,0,8,4,623,0,47,5
8,1,3,1,0,11,0,8,3,293,4,437,3
9,1,2,1,1,30,1,8,3,113,0,437,2
10,1,3,1,1,16,0,7,2,293,0,437,3
11,1,1,1,0,26,0,3,2,293,9,790,1
12,0,3,0,0,8,0,8,1,623,2,790,1
13,0,3,0,1,31,0,8,1,623,7,35,7
14,0,3,1,0,7,0,8,2,293,0,790,1
15,1,2,1,0,16,0,8,3,293,9,790,1
16,0,3,0,4,29,2,8,4,63,0,47,6
17,1,2,0,0,13,0,8,1,623,3,790,1
18,0,3,1,1,18,0,8,3,293,5,437,2
19,1,3,1,0,7,1,8,3,113,8,790,1
20,0,2,0,0,26,0,8,1,623,6,790,2
21,1,2,0,0,13,0,4,1,623,6,790,1
22,1,3,1,0,8,2,8,2,60,0,790,1
23,1,1,0,0,35,0,1,1,623,4,790,1
24,0,3,1,3,21,0,8,2,293,0,47,5
25,1,3,1,1,31,0,8,3,293,7,35,7
26,0,3,0,0,7,1,8,1,157,7,790,1
27,0,1,0,3,263,0,3,1,623,1,47,6
28,1,3,1,0,7,2,8,2,60,3,790,1
29,0,3,0,0,7,0,8,1,623,6,790,1
30,0,1,0,0,27,1,8,5,157,7,790,1
31,1,1,1,1,146,1,2,3,113,7,437,3
32,1,3,1,0,7,2,8,2,60,2,790,1
33,0,2,0,0,10,0,8,1,623,9,790,1
34,0,1,0,1,82,1,8,1,157,4,437,2
35,0,1,0,1,52,0,8,1,623,8,437,2
36,1,3,0,0,7,1,8,1,157,8,790,1
37,0,3,0,0,8,0,8,1,623,2,790,1
38,0,3,1,2,18,0,8,2,293,1,437,2
39,1,3,1,1,11,1,8,2,113,0,437,2
40,0,3,1,1,9,0,8,3,293,7,437,1
41,0,2,1,1,21,0,8,3,293,4,437,2
42,0,3,0,0,7,1,8,1,157,8,790,1
43,1,2,1,1,41,1,8,2,113,0,437,4
44,1,3,1,0,7,2,8,2,60,1,790,1
45,0,3,0,0,8,0,8,1,623,6,790,1
46,0,3,0,1,15,2,8,1,63,8,437,2
47,1,3,1,0,7,2,8,2,60,7,790,1
48,0,3,0,2,21,1,8,1,157,7,437,3
49,0,3,1,1,17,0,8,3,293,1,437,2
50,0,3,0,4,39,0,8,4,623,0,47,7
51,0,3,0,0,7,0,8,1,623,2,790,1
52,1,1,1,1,76,1,4,3,113,9,437,3
53,1,2,1,1,26,0,8,3,293,5,437,2
54,0,1,0,0,61,1,2,1,157,9,437,2
55,1,1,0,0,35,0,3,1,623,5,790,1
56,1,2,1,0,10,0,8,2,293,2,790,1
57,0,3,0,0,7,1,8,1,157,4,790,1
58,1,2,1,1,27,0,8,2,293,0,437,4
59,0,3,0,5,46,0,8,4,623,0,35,8
60,0,3,0,0,7,1,8,1,157,2,790,1
61,1,1,1,0,80,0,2,2,293,7,790,2
62,0,1,0,1,83,0,3,1,623,8,437,2
63,0,3,0,3,27,0,8,4,623,0,47,6
64,0,1,0,0,27,1,8,1,157,6,790,1
65,1,3,0,1,15,1,8,4,157,4,437,3
66,1,2,1,0,10,0,6,3,293,5,790,1
67,0,3,0,0,8,0,8,1,623,1,790,1
68,1,3,1,4,7,0,8,2,293,1,35,1
69,0,3,0,2,8,0,8,1,623,4,437,1
70,0,2,0,0,10,0,8,1,623,6,790,1
71,0,3,1,5,46,0,8,2,293,0,35,8
72,0,2,0,0,73,0,8,1,623,2,790,7
73,0,3,0,1,14,1,8,1,157,4,437,2
74,1,3,0,0,56,0,8,1,623,6,790,8
75,0,3,0,0,7,0,6,1,623,3,790,1
76,0,3,0,0,7,0,8,1,623,5,790,1
77,0,3,0,0,8,0,8,1,623,6,790,1
78,1,2,0,0,29,0,8,4,623,0,437,3
79,1,3,1,0,12,0,8,2,293,5,790,2
80,0,3,0,0,9,0,8,1,623,2,790,1
81,1,3,0,0,9,0,8,1,623,5,790,1
82,1,3,1,0,7,2,8,2,60,7,790,1
